,Unnamed: 0,time,Date,sym,bid price(open),bid price(high),bid price(low),Bid Price,ask price(open),ask price(high),ask price(low),Ask Price,RSI_ask_4,RSI_ask_4_shift,RSI_bid_4,RSI_bid_4_shift,ATR,Hour
50,50,2020-01-07 06:00:00.095032+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2401.5196,2300,2406,2299,2405.481,72.4725859680727,64.66169772854923,55.584912687158656,55.584912687158656,374.5,6
51,51,2020-01-08 00:09:58.766395+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2387.5224,2379,2402,2354,2391.4782,14.138435702283275,72.4725859680727,7.05611706940968,55.584912687158656,360.62025000000006,0
52,52,2020-01-08 00:19:56.036815+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2375.5248,2379,2402,2354,2377.4754,6.819561318731161,14.138435702283275,3.5319800961467536,7.05611706940968,345.87025000000006,0
53,53,2020-01-08 00:29:58.015298+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2376.5246,2379,2402,2354,2379.4758,15.182678503474094,6.819561318731161,8.603897460028122,3.5319800961467536,331.12025000000006,0
54,54,2020-01-08 00:39:55.974087+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2363.5272,2379,2402,2354,2365.473,8.261854975617396,15.182678503474094,4.501547377882062,8.603897460028122,316.37025000000006,0
55,55,2020-01-08 00:49:59.900240+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2360.5278,2379,2402,2354,2362.4724,7.30982947575329,8.261854975617396,3.925626168954068,4.501547377882062,301.62025000000006,0
56,56,2020-01-08 00:59:59.809093+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2363.5272,2379,2402,2354,2366.4732,23.06949723697619,7.30982947575329,17.92616389341471,3.925626168954068,286.87025000000006,0
57,57,2020-01-08 01:09:57.894381+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2360.5278,2379,2402,2354,2362.4724,18.806139574385938,23.06949723697619,15.009748929442495,17.92616389341471,272.12025000000006,1
58,58,2020-01-08 01:19:58.027067+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2363.5272,2379,2402,2354,2365.473,31.470695409214443,18.806139574385938,30.159572661335645,15.009748929442495,257.37025000000006,1
59,59,2020-01-08 01:29:36.016765+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2359.528,2379,2402,2354,2361.4722,24.638521793026683,31.470695409214443,22.90202590477314,30.159572661335645,242.62025000000006,1
60,60,2020-01-08 01:39:58.527627+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2360.5278,2379,2402,2354,2362.4724,29.724071372595915,24.638521793026683,28.62704673831533,22.90202590477314,227.87025000000006,1
61,61,2020-01-08 01:49:59.094285+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2364.527,2379,2402,2354,2367.4734,51.52984965416706,29.724071372595915,48.87449987863867,28.62704673831533,213.12025000000006,1
62,62,2020-01-08 01:59:57.726753+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2361.5276,2379,2402,2354,2364.4728,41.28232192757972,51.52984965416706,38.073585705573116,48.87449987863867,198.37025000000006,1
63,63,2020-01-08 02:09:59.684354+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2370.5258,2379,2402,2354,2373.4746,67.2966449101063,41.28232192757972,67.1298531526634,38.073585705573116,183.62025000000006,2
64,64,2020-01-08 02:19:53.493195+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2372.5254,2379,2402,2354,2374.4748,69.31094162683836,67.2966449101063,71.14183391394153,67.1298531526634,168.87025000000006,2
65,65,2020-01-08 02:29:59.015543+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2370.5258,2379,2402,2354,2373.4746,64.05083366160991,69.31094162683836,61.18461282494862,71.14183391394153,168.0,2
66,66,2020-01-08 02:30:00.063793+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2370.5258,2379,2402,2354,2373.4746,64.05083366160991,64.05083366160991,61.18461282494862,61.18461282494862,168.0,2
67,67,2020-01-08 03:39:59.312515+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2374.525,2379,2402,2354,2377.4754,76.65142079874263,64.05083366160991,74.08240276136185,61.18461282494862,168.0,3
68,68,2020-01-08 03:49:58.606984+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2380.5238,2379,2402,2354,2382.4764,85.26146054692565,76.65142079874263,84.42986357533779,74.08240276136185,168.0,3
69,69,2020-01-08 03:59:40.270157+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2388.5222,2379,2402,2354,2390.478,91.75092342588633,85.26146054692565,90.89342252219707,84.42986357533779,168.0,3
70,70,2020-01-08 04:09:50.322475+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2390.5218,2379,2402,2354,2392.4784,92.8066771078881,91.75092342588633,92.00037207479502,90.89342252219707,168.0,4
71,71,2020-01-08 04:19:59.565555+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2388.5222,2379,2402,2354,2391.4782,85.51065341503781,92.8066771078881,79.16916679465444,92.00037207479502,168.0,4
72,72,2020-01-08 04:29:59.065476+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2385.5228,2379,2402,2354,2388.4776,65.0537698755331,85.51065341503781,61.9022654304341,79.16916679465444,168.0,4
73,73,2020-01-08 04:39:54.111673+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2386.5226,2379,2402,2354,2388.4776,65.0537698755331,65.0537698755331,65.26888852072375,61.9022654304341,168.0,4
74,74,2020-01-08 04:49:57.787321+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2382.5234,2379,2402,2354,2384.4768,41.51303752558134,65.0537698755331,44.36148341866848,65.26888852072375,168.0,4
75,75,2020-01-08 04:59:54.434071+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2379.524,2379,2402,2354,2381.4762,30.482473767393415,41.51303752558134,33.598854094852584,44.36148341866848,168.0,4
76,76,2020-01-08 05:09:58.692298+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2381.5236,2379,2402,2354,2383.4766,43.76467075473849,30.482473767393415,45.37830336511373,33.598854094852584,168.0,5
77,77,2020-01-08 05:19:58.319753+00:00,1/8/20,STOCK|XTKS|8473|,2377,2400,2352,2383.5232,2379,2402,2354,2386.4772,59.312418324151594,43.76467075473849,55.8266677555867,45.37830336511373,168.0,5
